ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YOR381W,8,0.370538902623632,0.34585999298291,0.000311292658751053
YOR381W-A,8,0.437231799378531,0.428540977799044,0.0113036257356673
YOR382W,8,0.445441267620706,0.193674861213167,0.123832875101005
YOR383C,8,-0.0628742449698492,-0.159444286274724,0.930426415258594
YOR384W,8,-0.0520176130223135,0.0147006718441107,0.407468408169515
YOR385W,8,-0.0132476844274317,0.265739669368664,0.939250806987256
YOR386W,8,-0.347947532291325,-0.227856223349243,0.0839529519462434
YOR387C,8,NaN,NaN,0.617218995272095
YOR388C,8,NaN,NaN,0.5
YOR389W,8,NaN,NaN,0.5
YOR390W,8,NaN,NaN,0.629797420825002
YOR391C,8,NaN,NaN,0.5
YOR392W,8,NaN,NaN,0.5
YOR393W,8,NaN,NaN,0.5
YOR394C-A,8,NaN,NaN,0.5
YOR394W,8,NaN,NaN,0.927875708213189
YOR396C-A,8,NaN,NaN,0.5
YOR396W,8,NaN,NaN,0.5
YOL003C,7,0.339625281983965,0.339611734261017,0.0096010038720222
YOL004W,7,0.148050661984247,0.178560802221608,0.00446304937343645
YOL005C,7,0.05896438823523,0.0666428371941632,0.043533446781901
YOL006C,7,0.0360576281508942,-0.0421325653865892,0.948088308929467
YOL007C,7,0.197879537806481,-0.0658640868463267,0.354551248980306
YOL008W,7,0.266731304784752,0.223599507583933,0.00702045748904256
YOL009C,7,0.0776086700496292,0.00923853349111925,0.235290812273318
YOL010W,7,0.256352189407559,0.0402597374405385,0.420753448413079
YOL011W,7,0.263609630052212,0.273118100541277,0.00157635324336222
YOL012C,7,-0.0160049252938401,0.00951423151255656,0.471820299452407
YOL013C,7,-0.00268391712064866,0.0296910180810379,0.893640247773922
YOL013W-A,7,0.669796971208151,0.306154447978588,0.181114717815226
YOL013W-B,7,0.902798602662287,1.09050241875381,0.14034235237411
YOL014W,7,0.231046080462691,0.512543716344166,0.526162157173807
YOL015W,7,0.253992754007187,0.475453504016709,0.347258013745152
YOL016C,7,0.00546793948121308,0.432144262930457,0.831470141580729
YOL017W,7,0.155804779170566,0.00850673782596938,0.344934505520902
YOL018C,7,-0.020461343165415,-0.048556935425428,0.747471812556657
YOL019W,7,0.0875241344059182,-0.0277151782047935,0.308297737977753
YOL019W-A,7,2.11697138232166,2.25228848504337,0.00583635884648869
YOL020W,7,0.239310672865364,0.1567498937978,0.030810587234436
YOL021C,7,0.184964719041083,0.0260159323719426,0.227044536607361
YOL022C,7,0.277803520276936,0.247238585259631,0.0734714537921788
YOL023W,6,0.047271708292749,-0.000237631164556603,0.0914168054766883
YOL024W,6,0.136787557648277,-0.043070138697851,0.373614043254927
YOL025W,7,0.10727962676201,0.0663925874817966,0.0210572626259314
YOL026C,7,0.0768007926785176,0.0998741375343001,0.0359373557847194
YOL027C,7,0.00970896658882078,0.00906822223885781,0.837226843086552
YOR004W,5,0.621168277119268,0.350239061414825,0.0487736367405088
YOR005C,7,0.0268798932920455,0.0443399145741505,0.462360781082112
YOR006C,7,0.118925526027652,0.0394058095475259,0.451742988494829
YOR007C,7,0.269233257251537,0.328860777270886,0.0154867438224876
YOR008C,7,0.0137132629029,0.0239101660666195,0.560723241628232
YOR008C-A,7,0.996701781863688,1.12741390879124,0.0394849903315099
YOR008W-B,7,0.511501419810931,0.426929883379443,0.0288848401972468
YOR009W,7,0.415899678805648,0.306664908087565,0.0198298784495888
YOR010C,7,0.110775141120768,0.14236334898003,0.0888837191378754
YOR011W,7,0.319116598362541,0.223406578113969,0.0609060560956836
YOR011W-A,7,0.480115952810436,0.566786048270591,0.144590416681953
YOR012W,7,0.348282461910213,0.316381765476691,0.00489574461561285
YOR013W,7,0.110552797776016,0.115585606392317,0.0257228838762845
YOR014W,7,0.06395861786694,0.0119609657745132,0.28889270642166
YOR365C,4,0.206528033420692,0.182540020734201,0.0138019738133569
YOR366W,4,-0.27530390215422,-0.280892724569782,0.78327910178585
YOR367W,4,0.182722742501571,0.201080866741092,0.0134750752887492
YOR368W,4,0.118035299371118,0.0407803860572754,0.0305748557276551
YER165C-A,2,0.35978087508115,0.35978087508115,0.468762221449165
YER165W,1,-0.0420302827486967,-0.0420302827486967,0.019640538092324
YER166W,2,0.177314229666164,0.177314229666164,0.192930985674296
YER167W,4,0.089841105775228,0.110783569715704,0.0878494865420312
YER168C,4,0.354343916255666,0.300743903056296,0.112676879273164
YER169W,4,0.24748722284032,0.261385228531377,0.00717880731631565
YER170W,4,0.0369490835922849,0.0422613857239783,0.846370122063306
YER171W,4,0.423789554419882,0.340865268368836,0.137092508804524
YER172C,4,0.46287812347002,0.459090874662282,0.0130094530621859
YER172C-A,4,0.226788187005293,0.205333177678197,0.694588558633936
YER173W,4,0.417662563753471,0.330343690367983,0.0957882509785561
YER174C,4,-0.188147399416797,-0.174126414610742,0.0111200975841038
YER175C,4,-0.364001139986194,-0.32875333700984,0.0989626622565622
YER175W-A,4,1.05923437252004,1.01930679390335,0.0577743062101188
YER176W,4,0.364145054213469,0.365176616069379,0.0531749788861696
YER177W,4,-0.0902529842638394,-0.0138568496675322,0.709908018290113
YER178W,4,-0.0616022244662468,-0.0613306390493558,0.232145135436747
YER179W,4,-0.193291771148685,-0.282268908107865,0.0631375234566259
YER180C,4,0.359247753213717,0.340191097783467,0.0171293762022736
YER180C-A,4,0.160548112184733,0.207685650186402,0.226654311793966
YER181C,4,0.365387574238694,0.523033111507188,0.364274617722833
YER182W,4,-0.0595118217114484,0.0646274730360561,0.76848204103796
YER183C,4,0.114157216076631,0.132003612735711,0.206310715062504
YER184C,4,0.106665255593826,0.188584327019843,0.739104039797695
YER185W,4,0.318328968049908,0.326977174035972,0.0129127972450596
YER186C,4,NaN,NaN,0.477263859433764
YER187W,4,NaN,NaN,0.368024703488234
YER188C-A,4,NaN,NaN,0.681092703105258
YER188W,4,NaN,NaN,0.980116629853404
YER189W,4,NaN,NaN,0.624347012133269
YER190C-A,4,NaN,NaN,0.748642178176465
YER190W,4,NaN,NaN,0.973873432255782
YOL141W,6,0.717544725223454,0.448295650582573,0.0371658943416783
YOL142W,6,0.253186100634261,0.200774069767029,0.165188100396423
YOL143C,6,-0.36624618298954,-0.340077404513912,0.153616871059437
YOL144W,6,0.371140768882694,0.0797328486599593,0.145080988253768
YOL145C,6,0.146369294028078,0.086811800679342,0.178800356681784
YOL146W,6,0.254869474022658,0.253408977732606,0.106380035670081
YOL147C,6,0.224786709487333,0.158444357035138,0.0464472710811686
YOL148C,6,0.159125237687932,0.147496443675475,0.0303280613197405
YOL149W,6,0.367468544979825,0.299945990174318,0.0281264871751954
YOL150C,6,-0.727047432353821,-0.850181608744934,0.00999082395593717
YOL151W,6,-0.394957323612861,-0.511060602474508,0.106847457486632
YOL152W,6,0.172231125601044,0.0114397604579104,0.234778311825485
YOL154W,6,0.117818420552207,0.124665113854094,0.312462364097419
YOL155C,6,-0.199487193990088,-0.193483040114437,0.156669244739985
YOL155W-A,6,0.512410046259772,0.450581120552279,0.0904186669874302
YOL156W,6,0.304646211679724,0.217873365531292,0.0478607162003542
YOL157C,6,0.696124787020692,0.76228197005845,0.00260207877442427
YOL158C,6,0.842478982106257,0.856531722965516,0.00584445572146398
YOL159C,6,0.212298440048853,0.170950023674178,0.126772056262193
YOL159C-A,6,0.0922125451960136,0.0711771629153382,0.560882744621764
YOL160W,6,0.894424059438746,1.0509911757209,0.0605105313322201
YOL161C,6,0.594648213992784,0.349777453568888,0.0479875436627421
YOL162W,6,0.616990584848403,0.636641095390787,0.0102208068900232
YOL163W,6,0.666390796098483,0.677998382155344,0.00118681698855167
YOL164W,6,0.347654307640211,0.281762025055093,0.0383592561249969
YOL164W-A,6,NaN,NaN,0.210621695972538
YOL165C,6,NaN,NaN,0.888462553294016
YOL166C,6,NaN,NaN,0.5307324187898
YOL166W-A,6,NaN,NaN,NaN
YOR015W,6,0.0582239271240826,0.129714373407721,0.414321834355019
YOR016C,6,0.205355048001524,0.112281658984257,0.0498994054999591
YOR017W,6,0.143218559604812,0.150042170916021,0.0445899621346619
YOR018W,5,-0.058300585293488,0.00947752230640826,0.598491183973173
YEL001C,3,0.122359927060138,0.161861145023621,0.717081764537297
YEL002C,3,0.147624891217496,0.162382872634728,0.0243736939453808
YEL003W,3,0.205183048681296,0.232181547537904,0.517051512292156
YEL004W,3,0.33135297637361,0.298948870640196,0.0168815298180608
YEL005C,3,0.00340905867430948,0.132277944280954,0.800179474580843
YEL006W,3,0.224218643829052,0.206027001129721,0.25870482345341
YEL007W,3,0.142949445369819,0.14679227633945,0.39326228759427
YEL008C-A,3,0,0,NaN
YEL008W,3,0.118823883161041,0.205531305878621,0.455967163050935
YEL009C,3,0.0340833620898154,0.0386465523260903,0.468677655051274
YEL009C-A,3,-0.437809782589436,-0.272521147021322,0.245138260263976
YEL010W,3,-0.107757911755067,0.224818856574976,0.975412522652636
YEL011W,3,-0.943218422411063,-0.256080747588322,0.418718506771082
YEL012W,3,-0.223621332798939,-0.194905155331337,0.603596563046718
YEL013W,3,0.0288558008588119,-0.0376073822361762,0.614808590708296
YEL014C,3,0.488285107675116,0.559651709110768,0.0495355630345801
YEL015W,3,0.357141993244107,0.383557174439972,0.263640385665297
YEL016C,3,0.219318236014926,0.158261611143672,0.202883550885252
YEL017C-A,3,-0.131672244421267,-0.170539955168729,0.517621829608512
YEL017W,3,0.046072160505719,0.0138495941093187,0.629353936278309
YEL018C-A,3,0.310421582082225,0.306700663729199,0.59395897006313
YEL018W,3,0.185415732730678,0.236987316575899,0.265828274821595
YEL019C,3,0.407511359158481,0.459047388003355,0.120604377339478
YEL020C,3,0.0551422083966944,0.192684648554141,0.810314720079835
YEL020C-B,3,1.03254504162952,1.04839970869717,0.539928730112897
YEL020W-A,3,0.0584988011583328,0.0458644000315968,0.321083108140522
YEL021W,3,-0.107181854420308,0.158525586401212,0.212285155587679
YEL022W,3,0.419433183693751,0.59820585782502,0.191902627880827
YEL023C,3,0.301469054311532,0.272308282821719,0.149014910601683
YEL024W,3,-0.144072353184946,-0.231463074540431,0.884769166689822
YEL025C,3,0.0477258011272848,0.130877291047263,0.892250992872776
YEL026W,3,0.375813040618628,0.380105441715922,0.173177500689281
YEL027W,3,-0.175745970711112,-0.175943278388978,0.0375919807292567
YEL028W,3,0.241540149004247,0.262486694071129,0.239610694447607
YEL029C,3,0.479571030367866,0.627697395879356,0.0937119362541485
YEL030C-A,3,0.380146395566427,0.381629761230573,0.135178386590002
YEL030W,3,0.282605060471356,0.293243347093579,0.0407069591820782
YEL031W,3,0.323153222467013,0.453466583792021,0.299527513502441
YEL032C-A,3,0.989420406943103,0.694575727544032,0.609315098596199
YEL032W,3,0.492126764082071,0.525175968917885,0.223112956107018
YEL033W,3,0.496193086443871,0.444627682825537,0.0661242587211969
YEL034C-A,3,0.232525777427589,0.193340989606818,0.260089762594558
YEL034W,3,0,0,NaN
YEL035C,3,0.287831160968098,0.289413075518881,0.0360973512985217
YEL036C,3,0.297539901940636,0.314410062078992,0.313519213013401
YEL037C,3,0.226141011069424,0.228989036956964,0.132018899771349
YEL038W,3,0.272141284629265,0.372042363523203,0.0923531159669964
YEL039C,3,-1.12540184488508,-0.612342393789652,0.298546506886026
YEL040W,3,0.555614283138811,0.602398402119598,0.417744488360281
YEL041W,3,-0.0892117682773892,-0.188284747007403,0.88200664198044
YEL042W,3,0.188365799025221,0.153277670975566,0.306811228359758
YEL043W,3,0.188250876464913,0.210013435317409,0.0261104979004476
YEL044W,3,0.38758445464113,0.424208068789795,0.0892576651277918
YEL045C,3,0.865474648280365,0.773270341719395,0.0515364324104235
YEL046C,3,0.337787725058824,0.339063986227261,0.0753733111131067
YEL047C,3,-0.0730535118683403,-0.124554967893526,0.693456680144701
YEL048C,3,0.959553253498474,1.15087591594568,0.121361089233523
